Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
Q0;Cortex (Posterior);Left;69;6070313;39.76%
Q0;Cortex (Posterior);Right;74;5296875;33.91%
Q0;Cortex (Posterior);Whole;143;11367188;37.04%
Q0;Hippocampus;Left;16;2156250;48.82%
Q0;Hippocampus;Right;16;1950000;38.80%
Q0;Hippocampus;Whole;32;4106250;44.06%
Q0;Olfactory Bulb;Whole;9;6000000;50.75%
Q0;Rest of Brain;Whole;128;10218750;22.59%
Q1;Cerebellum;Whole;65;52656250;89.83%
Q1;Cortex (Anterior);Left;9;1000000;52.76%
Q1;Cortex (Anterior);Right;9;1012500;47.45%
Q1;Cortex (Anterior);Whole;18;2012500;50.09%
Q1;Cortex (Posterior);Left;85;7289063;43.02%
Q1;Cortex (Posterior);Right;0.08;8148438;47.41%
Q1;Cortex (Posterior);Whole;165;15437501;45.34%
Q1;Hippocampus;Left;0.01;2046875;38.57%
Q1;Hippocampus;Right;12;1162500;27.34%
Q1;Hippocampus;Whole;22;3209375;34.50%
Q1;Olfactory Bulb;Whole;12;4643750;54.25%
Q1;Rest of Brain;Whole;0.14;12775000;26.18%
Q2;Cerebellum;Whole;0.07;40281250;88.80%
Q2;Cortex (Anterior);Left;0.01;1693750;56.75%
Q2;Cortex (Anterior);Right;9;1400000;36.61%
Q2;Cortex (Anterior);Whole;19;3093750;47.63%
Q2;Cortex (Posterior);Left;101;7921875;30.94%
Q2;Cortex (Posterior);Right;93;6250000;31.75%
Q2;Cortex (Posterior);Whole;194;14171875;31.29%
Q2;Hippocampus;Left;15;1812500;26.64%
Q2;Hippocampus;Right;17;1750000;35.10%
Q2;Hippocampus;Whole;32;3562500;30.80%
Q2;Olfactory Bulb;Whole;12;5412500;57.58%
Q2;Rest of Brain;Whole;145;9906250;35.25%
R0;Cerebellum;Whole;78;51687500;84.88%
R0;Cortex (Anterior);Left;11;1262500;47.54%
R0;Cortex (Anterior);Right;9;1406250;49.50%
R0;Cortex (Anterior);Whole;0.02;2668750;48.57%
R0;Cortex (Posterior);Left;91;7835938;38.77%
R0;Cortex (Posterior);Right;93;9843750;36.81%
R0;Cortex (Posterior);Whole;184;17679688;37.68%
R0;Hippocampus;Left;18;1987500;33.40%
R0;Hippocampus;Right;17;2804688;36.17%
R0;Hippocampus;Whole;35;4792188;35.02%
R0;Olfactory Bulb;Whole;17;7206250;51.85%
R0;Rest of Brain;Whole;0.14;11793750;25.27%
R1;Cerebellum;Whole;65;60375000;85.12%
R1;Cortex (Anterior);Left;17;1734375;33.47%
R1;Cortex (Anterior);Right;18;1812500;32.28%
R1;Cortex (Anterior);Whole;35;3546875;32.86%
R1;Cortex (Posterior);Left;71;4712500;33.27%
R1;Cortex (Posterior);Right;53;5131250;42.08%
R1;Cortex (Posterior);Whole;124;9843750;37.86%
R1;Hippocampus;Left;16;2481250;25.54%
R1;Hippocampus;Right;17;1937500;27.47%
R1;Hippocampus;Whole;33;4418750;26.39%
R1;Rest of Brain;Whole;126;11906250;32.44%
R2;Cerebellum;Whole;0.07;54562500;87.02%
R2;Cortex (Anterior);Left;14;2425000;40.08%
R2;Cortex (Anterior);Right;12;2239583;40.51%
R2;Cortex (Anterior);Whole;26;4664583;40.29%
R2;Cortex (Posterior);Left;69;7742188;39.96%
R2;Cortex (Posterior);Right;78;5706250;53.20%
R2;Cortex (Posterior);Whole;147;13448438;45.58%
R2;Hippocampus;Left;14;1487500;35.00%
R2;Hippocampus;Right;16;2268750;34.38%
R2;Hippocampus;Whole;0.03;3756250;34.63%
R2;Rest of Brain;Whole;132;10912500;26.20%
R3;Cerebellum;Whole;79;63093750;82.35%
R3;Cortex (Anterior);Left;12;1350000;42.83%
R3;Cortex (Anterior);Right;12;1606250;43.40%
R3;Cortex (Anterior);Whole;24;2956250;43.14%
R3;Cortex (Posterior);Left;0.08;6835938;42.63%
R3;Cortex (Posterior);Right;0.09;6281250;42.99%
R3;Cortex (Posterior);Whole;0.17;13117188;42.80%
R3;Hippocampus;Left;18;1362500;38.18%
R3;Hippocampus;Right;17;2460938;36.68%
R3;Hippocampus;Whole;35;3823438;37.21%
R3;Olfactory Bulb;Whole;16;5137500;53.70%
R3;Rest of Brain;Whole;127;10893750;34.55%
R4;Cerebellum;Whole;0.08;63031250;81.41%
R4;Cortex (Anterior);Left;18;2418750;31.80%
R4;Cortex (Anterior);Right;16;2101563;38.05%
R4;Cortex (Anterior);Whole;34;4520313;34.71%
R4;Cortex (Posterior);Left;89;8820313;43.76%
R4;Cortex (Posterior);Right;88;6187500;36.89%
R4;Cortex (Posterior);Whole;177;15007813;40.93%
R4;Hippocampus;Left;16;2262500;38.29%
R4;Hippocampus;Right;14;2050000;32.73%
R4;Hippocampus;Whole;0.03;4312500;35.65%
R4;Olfactory Bulb;Whole;16;5987500;47.84%
R4;Rest of Brain;Whole;0.15;8093750;21.34%
S0;Cerebellum;Whole;67;65687500;91.45%
S0;Cortex (Anterior);Left;13;1037500;37.13%
S0;Cortex (Anterior);Right;14;1562500;44.19%
S0;Cortex (Anterior);Whole;27;2600000;41.37%
S0;Cortex (Posterior);Left;69;7237500;41.00%
S0;Cortex (Posterior);Right;84;5225000;47.34%
S0;Cortex (Posterior);Whole;153;12462500;43.66%
S0;Hippocampus;Left;15;2131250;29.94%
S0;Hippocampus;Right;0.01;1256250;27.00%
S0;Hippocampus;Whole;25;3387500;28.85%
S0;Olfactory Bulb;Whole;9;3031250;42.46%
S0;Rest of Brain;Whole;67;12825000;28.14%
S1;Cerebellum;Whole;71;50343750;86.67%
S1;Cortex (Anterior);Left;16;1937500;35.47%
S1;Cortex (Anterior);Right;18;2262500;48.71%
S1;Cortex (Anterior);Whole;34;4200000;42.60%
S1;Cortex (Posterior);Left;66;7950000;31.67%
S1;Cortex (Posterior);Right;69;7476563;44.27%
S1;Cortex (Posterior);Whole;135;15426563;37.78%
S1;Hippocampus;Left;16;2431250;42.08%
S1;Hippocampus;Right;17;1831250;46.08%
S1;Hippocampus;Whole;33;4262500;43.80%
S1;Olfactory Bulb;Whole;15;8931250;52.02%
S1;Rest of Brain;Whole;134;14156250;31.58%
S2;Cerebellum;Whole;78;67093750;86.47%
S2;Cortex (Anterior);Left;11;2250000;45.22%
S2;Cortex (Anterior);Right;12;1362500;41.63%
S2;Cortex (Anterior);Whole;23;3612500;43.87%
S2;Cortex (Posterior);Left;53;6125000;53.56%
S2;Cortex (Posterior);Right;78;8867188;42.35%
S2;Cortex (Posterior);Whole;131;14992188;46.93%
S2;Hippocampus;Left;16;1468750;43.06%
S2;Hippocampus;Right;19;2343750;35.93%
S2;Hippocampus;Whole;35;3812500;38.68%
S2;Olfactory Bulb;Whole;11;3675000;42.94%
S2;Rest of Brain;Whole;143;13143750;36.20%
S3;Cerebellum;Whole;64;50531250;85.38%
S3;Cortex (Anterior);Left;14;1218750;43.84%
S3;Cortex (Anterior);Right;17;1856250;43.01%
S3;Cortex (Anterior);Whole;31;3075000;43.34%
S3;Cortex (Posterior);Left;79;7959375;34.92%
S3;Hippocampus;Left;11;2512500;42.94%
S3;Hippocampus;Right;9;2000000;25.25%
S3;Hippocampus;Whole;0.02;4512500;35.10%
S3;Olfactory Bulb;Whole;9;4781250;50.19%
S3;Rest of Brain;Whole;0.15;13593750;25.57%
S4;Cerebellum;Whole;68;63406250;81.87%
S4;Cortex (Anterior);Left;19;1987500;42.67%
S4;Cortex (Anterior);Right;18;2132813;38.78%
S4;Cortex (Anterior);Whole;37;4120313;40.65%
S4;Cortex (Posterior);Left;75;8578125;47.94%
S4;Cortex (Posterior);Right;76;7481250;41.33%
S4;Cortex (Posterior);Whole;151;16059375;44.86%
S4;Hippocampus;Left;16;2231250;44.31%
S4;Hippocampus;Right;19;1640625;29.77%
S4;Hippocampus;Whole;35;3871875;38.15%
S4;Olfactory Bulb;Whole;8;3625000;54.14%
S4;Rest of Brain;Whole;128;13293750;29.39%
T0;Cerebellum;Whole;65;67531250;88.36%
T0;Cortex (Anterior);Left;14;1906250;36.89%
T0;Cortex (Anterior);Right;11;1593750;40.77%
T0;Cortex (Anterior);Whole;25;3500000;38.66%
T0;Cortex (Posterior);Left;83;7843750;39.80%
T0;Cortex (Posterior);Right;77;7578125;42.60%
T0;Cortex (Posterior);Whole;0.16;15421875;41.18%
T0;Hippocampus;Left;16;1750000;36.36%
T0;Hippocampus;Right;17;3168750;44.93%
T0;Hippocampus;Whole;33;4918750;41.88%
T0;Olfactory Bulb;Whole;14;5581250;59.44%
T0;Rest of Brain;Whole;149;15837500;23.08%
T1;Cerebellum;Whole;64;60250000;87.07%
T1;Cortex (Anterior);Left;16;1887500;40.04%
T1;Cortex (Anterior);Right;15;1475000;41.00%
T1;Cortex (Anterior);Whole;31;3362500;40.46%
T1;Cortex (Posterior);Left;74;6215625;40.56%
T1;Cortex (Posterior);Right;71;7804688;45.00%
T1;Cortex (Posterior);Whole;145;14020313;43.03%
T1;Hippocampus;Left;0.02;2618750;32.23%
T1;Hippocampus;Right;21;1925000;47.61%
T1;Hippocampus;Whole;41;4543750;38.75%
T1;Olfactory Bulb;Whole;11;4525000;45.27%
T1;Rest of Brain;Whole;147;12637500;23.96%
T2;Cerebellum;Whole;76;66875000;85.23%
T2;Cortex (Anterior);Left;15;1900000;33.59%
T2;Cortex (Anterior);Right;13;1737500;46.41%
T2;Cortex (Anterior);Whole;28;3637500;39.72%
T2;Cortex (Posterior);Left;0.08;7640625;43.60%
T2;Cortex (Posterior);Right;65;8350000;46.35%
T2;Cortex (Posterior);Whole;145;15990625;45.03%
T2;Hippocampus;Left;21;3093750;37.38%
T2;Hippocampus;Right;13;1506250;46.72%
T2;Hippocampus;Whole;34;4600000;40.44%
T2;Rest of Brain;Whole;126;13218750;29.82%
