Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
H0;Olfactory Bulb;Left;5;3871875;65.14%
H0;Rest of Brain;Left;0.07;6975000;35.79%
H1;Cerebellum;Left;36;24937500;74.48%
H1;Cortex (Anterior);Left;16;1132813;37.83%
H1;Cortex (Posterior);Left;83;7781250;41.75%
H1;Hippocampus;Left;11;877500;37.35%
H1;Olfactory Bulb;Left;6;3628125;61.61%
H1;Rest of Brain;Left;64;6768750;22.82%
A1;Cerebellum;Right;36;19578125;82.78%
A1;Cortex (Anterior);Right;16;1563750;34.19%
A1;Cortex (Posterior);Right;81;6800000;39.22%
A1;Hippocampus;Right;12;787500;27.85%
A1;Olfactory Bulb;Right;5;3325000;49.42%
A1;Rest of Brain;Right;54;5953125;29.02%
A2;Cerebellum;Right;31;27806250;90.06%
A2;Cortex (Anterior);Right;13;1346875;48.07%
A2;Cortex (Posterior);Right;57;5706250;43.45%
A2;Hippocampus;Right;15;2492188;34.71%
A2;Olfactory Bulb;Right;1;2387500;49.60%
A2;Rest of Brain;Right;48;685000;20.23%
A3;Cerebellum;Right;32;25298125;83.70%
A3;Cortex (Anterior);Right;18;1943750;38.23%
A3;Cortex (Posterior);Right;76;6862500;54.92%
A3;Hippocampus;Right;8;735000;29.81%
A3;Olfactory Bulb;Right;6;2856250;50.10%
A3;Rest of Brain;Right;47;5718750;29.94%
A4;Cerebellum;Right;31;22550000;82.00%
A4;Cortex (Anterior);Right;15;2146875;39.65%
A4;Cortex (Posterior);Right;64;5768750;39.64%
A4;Hippocampus;Right;15;1431250;21.22%
A4;Olfactory Bulb;Right;3;1818750;53.10%
A4;Rest of Brain;Right;51;5975000;21.20%
B1;Cerebellum;Right;36;22750000;84.20%
B1;Cortex (Anterior);Right;17;1785000;48.52%
B1;Cortex (Posterior);Right;89;8962500;42.61%
B1;Hippocampus;Right;13;1062500;48.30%
B1;Olfactory Bulb;Right;0.01;4134375;62.40%
B1;Rest of Brain;Right;58;6037500;22.99%
B3;Cerebellum;Right;42;23643750;76.11%
B3;Cortex (Posterior);Right;83;8887500;39.14%
B3;Hippocampus;Right;22;2128125;22.84%
B3;Olfactory Bulb;Right;4;1825000;42.72%
B3;Rest of Brain;Right;52;5634375;25.09%
B4;Cerebellum;Right;27;16396875;84.38%
B4;Cortex (Anterior);Right;11;1597656;41.15%
B4;Cortex (Posterior);Right;68;6507813;35.76%
B4;Hippocampus;Right;13;3018750;45.37%
B4;Olfactory Bulb;Right;1;4814063;61.97%
B4;Rest of Brain;Right;54;7650000;20.56%
C1;Cerebellum;Right;28;19893750;80.82%
C1;Cortex (Anterior);Right;12;1115000;32.68%
C1;Cortex (Posterior);Right;68;5775000;38.60%
C1;Hippocampus;Right;9;1412500;25.84%
C1;Olfactory Bulb;Right;4;3447500;45.67%
C1;Rest of Brain;Right;56;6928125;21.62%
C2;Cerebellum;Right;35;14643750;85.94%
C2;Cortex (Anterior);Right;13;988750;21.87%
C2;Cortex (Posterior);Right;79;7612500;31.60%
C2;Hippocampus;Right;8;756600;30.51%
C2;Rest of Brain;Right;46;4625000;23.57%
C3;Cerebellum;Right;32;22000000;88.05%
C3;Cortex (Anterior);Right;17;1931250;46.20%
C3;Cortex (Posterior);Right;72;7150000;44.95%
C3;Hippocampus;Right;18;1850000;27.18%
C3;Olfactory Bulb;Right;7;3300000;42.32%
C3;Rest of Brain;Right;69;8765625;32.69%
D1;Cerebellum;Right;39;19978125;84.10%
D1;Cortex (Anterior);Right;9;2012500;48.04%
D1;Cortex (Posterior);Right;76;10912500;51.15%
D1;Hippocampus;Right;7;3853125;35.27%
D1;Olfactory Bulb;Right;3;1809000;49.43%
D1;Rest of Brain;Right;43;5625000;33.64%
D2;Cerebellum;Right;29;18037500;85.99%
D2;Cortex (Anterior);Right;6;1459500;37.93%
D2;Cortex (Posterior);Right;63;8906250;33.40%
D2;Hippocampus;Right;11;1921875;52.08%
D2;Olfactory Bulb;Right;3;3450000;63.42%
